id,symbol,name,categories,circulation_supply,total_supply,market_cap_rank,exchange,target_coin,crypto_pair,in_tv
dhedge-dao,dht,dHEDGE DAO,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Asset Manager', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Base Ecosystem', 'DeFiance Capital Portfolio']",57366873.87528686,100000000,1835,Velodrome Finance V2 (Optimism),dhedge-dao,,
dia-data,dia,DIA,"['Infrastructure', 'Decentralized Finance (DeFi)', 'Oracle', 'BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)', 'Sora Ecosystem', 'Outlier Ventures Portfolio']",119676104,168817248,583,BINANCE,tether,DIAUSDT,y
diamond,dmd,Diamond,"['Smart Contract Platform', 'Layer 1 (L1)', 'Proof of Work (PoW)']",3861080.961,4380000,1518,BitMart,bitcoin,,
diamond-launch,dlc,Diverge Loop,"['Analytics', 'BNB Chain Ecosystem']",890000000,1000000000,358,MEXC,tether,DLCUSDT,y
digibyte,dgb,DigiByte,"['Internet of Things (IOT)', 'Smart Contract Platform', 'Layer 1 (L1)', 'Proof of Work (PoW)', 'Made in USA']",17664666971.05611,17665604271.85366,323,BINANCE,tether,DGBUSDT,y
digitalbits,xdb,XDB CHAIN,"['Smart Contract Platform', 'Layer 1 (L1)', 'Real World Assets (RWA)']",17057062634,18765762572,1944,MEXC,tether,XDBUSDT,y
dimo,dimo,DIMO,"['Polygon Ecosystem', 'IoTeX Ecosystem', 'Ethereum Ecosystem', 'DePIN']",321029650.5197283,1000000000,1037,GATEIO,tether,DIMOUSDT,y
dimitra,dmtr,Dimitra,"['Ethereum Ecosystem', 'Real World Assets (RWA)', 'DePIN']",971071677.3884498,971071677.3884498,1045,MEXC,tether,DMTRUSDT,y
dinero-2,dinero,Dinero,"['Infrastructure', 'Decentralized Finance (DeFi)', 'Lending/Borrowing Protocols', 'Ethereum Ecosystem', 'Metagovernance', 'Liquid Staking Governance Tokens', 'LSDFi', 'Curve Ecosystem', 'Liquid Staking']",718035338.0909004,1244701155.220912,1559,UNISWAP3ETH,weth,,
dione,dione,Dione,"['Energy', 'Smart Contract Platform', 'Layer 1 (L1)', 'Made in USA']",10145441353.45275,13433600526,1206,MEXC,tether,DIONEUSDT,y
districts,dstrx,Districts,"['Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Metaverse', 'Ethereum Ecosystem']",123047860.4,125000000,1866,Uniswap V4 (Ethereum),ethereum,,
divi,divi,Divi,"['Smart Contract Platform', 'Masternodes', 'Ethereum Ecosystem', 'Proof of Stake (PoS)']",4274442196.013782,4274933721.995804,1684,AscendEX (BitMax),tether,DIVIUSDT,
district0x,dnt,district0x,"['Ethereum Ecosystem', 'Energi Ecosystem']",751221716.3251766,1000000000,1096,Coinbase Exchange,,,
dkargo,dka,dKargo,['Ethereum Ecosystem'],4686666667,5000000000,510,UPBIT,,,
dmail-network,dmail,Dmail Network,"['Communication', 'SocialFi', 'BNB Chain Ecosystem']",94280794.04,200000000,1506,MEXC,tether,DMAILUSDT,y
dodo,dodo,DODO,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'Coinbase Ventures Portfolio', 'Alameda Research Portfolio', 'DeFiance Capital Portfolio', 'Pantera Capital Portfolio', 'Aurora Ecosystem', 'Energi Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Galaxy Digital Portfolio']",1000000000,1000000000,695,BINANCE,tether,DODOUSDT,y
dogeai-2,$dogeai,DOGEai,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Meme', 'Dog-Themed', 'AI Agents', 'Pump.fun Ecosystem']",766709785.2,999818568.6,1862,LBank,tether,$DOGEAIUSDT,
dogecoin,doge,Dogecoin,"['Smart Contract Platform', 'Meme', 'Dog-Themed', 'Elon Musk-Inspired', 'Proof of Work (PoW)', 'GMCI Meme Index', 'GMCI 30 Index', 'GMCI Index', 'Coinbase 50 Index']",149049146383.7052,149066056383.7051,8,BINANCE,first-digital-usd,DOGEFDUSD,y
dogelon-mars,elon,Dogelon Mars,"['BNB Chain Ecosystem', 'Solana Ecosystem', 'Polygon Ecosystem', 'Meme', 'Ethereum Ecosystem', 'Cronos Ecosystem', 'Dog-Themed', 'Elon Musk-Inspired', 'Fuse Ecosystem']",549649971723242.3,1000000000000000.0,565,MEXC,tether,ELONUSDT,y
dog-go-to-the-moon-rune,dog,Dog (Bitcoin),"['Solana Ecosystem', 'Meme', 'Dog-Themed', 'Solana Meme', 'Bitcoin Ecosystem', 'Runes']",1E+11,1E+11,228,MEXC,tether,DOGUSDT,y
doginme,doginme,doginme,"['Meme', 'Base Ecosystem', 'Dog-Themed', 'Base Meme', 'Farcaster Ecosystem']",67619338048.36427,67619338048.36427,858,MEXC,tether,DOGINMEUSDT,y
dogs-2,dogs,Dogs,"['Meme', 'Dog-Themed', 'TON Ecosystem', 'TON Meme']",5.1675E+11,5.5E+11,531,BINANCE,tether,DOGSUSDT,y
dogwifcoin,wif,dogwifhat,"['Solana Ecosystem', 'Meme', 'Dog-Themed', 'Solana Meme', 'GMCI Meme Index', 'GMCI Index']",998926392,998926392,133,BINANCE,tether,WIFUSDT,y
dolan-duck,dolan,Dolan Duck,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'Parody Meme']",98230064.64,98230064.64,1684,Raydium,wrapped-solana,,
dola-usd,dola,DOLA,"['Stablecoins', 'USD Stablecoin', 'BNB Chain Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Base Ecosystem', 'Crypto-backed Stablecoin', 'Fiat-backed Stablecoin']",63498450.21923104,214256751.2172514,611,Uniswap v3 (Base),usd-coin,DOLAUSDC,
dolomite,dolo,Dolomite,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'Lending/Borrowing Protocols', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio', 'Venture Capital Portfolios', 'Dex Aggregator']",361694000,1000000000,1261,MEXC,tether,DOLOUSDT,y
dora-factory-2,dora,Dora Factory,['Ethereum Ecosystem'],1000000000,1000000000,1030,MEXC,tether,DORAUSDT,y
dovu-2,dovu,DOVU,"['Ethereum Ecosystem', 'Regenerative Finance (ReFi)', 'Real World Assets (RWA)', 'Hedera Ecosystem']",9916466699,10000000000,1578,Saucerswap V2,wrapped-hbar,,
draggin-karma-points,dkp,Draggin Karma Points,"['Gaming (GameFi)', 'Internet Computer Ecosystem', 'Gaming Governance Token', 'MMO']",3991070955,7999999844,1800,ICPSwap,internet-computer,,
dragonchain,drgn,Dragonchain,"['Ethereum Ecosystem', 'Alleged SEC Securities', 'Made in USA']",368540930.8875081,433494437,812,UNISWAP3ETH,weth,,
dream-machine-token,dmt,Dream Machine Token,"['Entertainment', 'Smart Contract Platform', 'SocialFi', 'Gaming (GameFi)', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Layer 3 (L3)', 'Sanko Ecosystem']",994044.9947,994044.9947,1629,Camelot V3,arbitrum-bridged-weth-arbitrum-one,,
drift-staked-sol,dsol,Drift Staked SOL,"['Solana Ecosystem', 'Liquid Staking Tokens', 'Liquid Staked SOL', 'Liquid Staking']",1267382.041968429,1267382.041968429,285,Meteora,wrapped-solana,,
drift-protocol,drift,Drift Protocol,"['Decentralized Finance (DeFi)', 'Derivatives', 'Prediction Markets', 'Solana Ecosystem']",297566100.3,1000000000,271,UPBIT,,,
drop-staked-atom,datom,Drop Staked ATOM,"['Decentralized Finance (DeFi)', 'Liquid Staking']",1744570,1744570,1618,Astroport (Neutron),drop-staked-atom,,
drop-staked-ntrn,dntrn,Drop Staked NTRN,"['Decentralized Finance (DeFi)', 'Liquid Staking']",145749958,145749958,1131,Astroport (Neutron),drop-staked-ntrn,,
duckchain-token,duck,DuckChain Token,"['Smart Contract Platform', 'TON Ecosystem', 'Appchains', 'DuckChain Ecosystem']",5900000000,10000000000,1214,MEXC,tether,DUCKUSDT,y
dusk-network,dusk,DUSK,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'Zero Knowledge (ZK)', 'Real World Assets (RWA)', 'Energi Ecosystem', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Privacy Blockchain']",500000000,500000000,765,BINANCE,tether,DUSKUSDT,y
dydx,ethdydx,dYdX,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Derivatives', 'Perpetuals', 'Ethereum Ecosystem', 'Paradigm Portfolio']",88426833.55905755,213819959.6919886,643,BYBIT,tether,ETHDYDXUSDT,
dydx-chain,dydx,dYdX,"['Decentralized Exchange (DEX)', 'Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Cosmos Ecosystem', 'Perpetuals', 'Layer 1 (L1)', 'Osmosis Ecosystem', 'Appchains', 'DragonFly Capital Portfolio', 'DeFiance Capital Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'GMCI DeFi Index', 'Delphi Ventures Portfolio', 'GMCI Index', 'Polychain Capital Portfolio', 'Made in USA']",765849024.3943241,881171965.2,146,BINANCE,tether,DYDXUSDT,y
dymension,dym,Dymension,"['Smart Contract Platform', 'Cosmos Ecosystem', 'Modular Blockchain', 'Osmosis Ecosystem', 'Rollups-as-a-Service (RaaS)']",280395256,1000000000,456,BINANCE,tether,DYMUSDT,y
eafin,eafin,Eafin,['BNB Chain Ecosystem'],218033988,1618033989,1103,PancakeSwap V3 (BSC),binance-bridged-usdt-bnb-smart-chain,,
eagle-ai,eai,Eagle AI,"['Analytics', 'Base Ecosystem']",38275036.86565438,100000000,1285,Uniswap V2 (Base),l2-standard-bridged-weth-base,,
earnbet,ebet,EarnBet,"['Gambling (GambleFi)', 'Ethereum Ecosystem']",4594176955.641142,7215294455.641142,1861,Uniswap v2 (Ethereum),weth,,
ecash,xec,eCash,"['Smart Contract Platform', 'Layer 1 (L1)', 'Bitcoin Fork', 'Proof of Work (PoW)']",1.98585E+13,1.98585E+13,164,BINANCE,tether,XECUSDT,y
echelon-prime,prime,Echelon Prime,"['Smart Contract Platform', 'Gaming (GameFi)', 'Ethereum Ecosystem', 'Base Ecosystem', 'Card Games', 'Paradigm Portfolio', 'Gaming Blockchains', 'Gaming Utility Token']",59600755.43,111111111,332,Coinbase Exchange,,,
ecoin-2,ecoin,Ecoin,"['XDC Ecosystem', 'Telos Ecosystem']",4.61122E+11,1E+12,475,ProBit Global,tether,ECOINUSDT,
ecomi,omi,ECOMI,"['Gaming (GameFi)', 'NFT', 'Metaverse', 'Collectibles', 'Play To Earn', 'Ethereum Ecosystem', 'Base Ecosystem', 'Energi Ecosystem']",2.70952E+11,3.10882E+11,646,MEXC,tether,OMIUSDT,y
edge,edge,Edge,"['Business Services', 'Ethereum Ecosystem', 'DePIN']",40829992.09,59715295,760,UNISWAP3ETH,weth,,
ecox,ecox,ECOx,"['Ethereum Ecosystem', 'Coinbase Ventures Portfolio']",495045923.3,998366082.2,1354,GATEIO,tether,ECOXUSDT,y
edu-coin,edu,Open Campus,"['Education', 'BNB Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Binance Launchpad', 'YZi Labs (Prev. Binance Labs) Portfolio']",260104168.7,1000000000,806,BINANCE,tether,EDUUSDT,y
edwin,edwin,Edwin,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'AI Agents', 'Pump.fun Ecosystem', 'AI Framework', 'DeFAI']",979959955.6,999959955.6,1579,Raydium,wrapped-solana,,
efinity,efi,Efinity,"['NFT', 'Ethereum Ecosystem']",86915138.61,2000000000,1420,Indodax,,,
eggs-finance,eggs,Eggs Finance,"['Decentralized Finance (DeFi)', 'Lending/Borrowing Protocols', 'Sonic Ecosystem']",64031642899.31772,64031642899.31772,826,Shadow Exchange,wrapped-sonic,,
eigenlayer,eigen,Eigenlayer,"['Infrastructure', 'Ethereum Ecosystem', 'Data Availability', 'Restaking', 'Polychain Capital Portfolio', 'Made in USA']",262190048.7504022,1721281227.305069,242,BINANCE,tether,EIGENUSDT,y
ekubo-protocol,ekubo,Ekubo Protocol,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'Ethereum Ecosystem', 'Starknet Ecosystem']",10000000,10000000,740,Ekubo (Starknet),bridged-wrapped-ether-starkgate,,
elastos,ela,Elastos,"['Smart Contract Platform', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'Bitcoin Sidechains', 'SideChain', 'Huobi ECO Chain Ecosystem']",22737476,25918879,956,Coinbase Exchange,,,
electroneum,etn,Electroneum,"['Smart Contract Platform', 'Layer 1 (L1)']",17979817605,21000000000,1035,MEXC,tether,ETNUSDT,y
electronic-usd,eusd,Electronic USD,"['Stablecoins', 'USD Stablecoin', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Crypto-backed Stablecoin', 'Fiat-backed Stablecoin']",22593955.17334496,22593955.17334496,1086,Curve (Ethereum),usd-coin,EUSDUSDC,
electra-protocol,xep,Electra Protocol,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Solana Ecosystem', 'Layer 1 (L1)', 'Proof of Stake (PoS)']",18181799082.82639,29500005853,1918,MEXC,tether,XEPUSDT,y
elephant-money,elephant,Elephant Money,['BNB Chain Ecosystem'],498327642535929.94,1000000000000000.0,1145,PancakeSwap (v2),wbnb,,
elephant-money-trunk,trunk,Elephant Money (TRUNK),"['BNB Chain Ecosystem', 'Solana Ecosystem']",118600493.64270428,118600493.64270428,1676,PancakeSwap (v2),binance-peg-busd,TRUNKBUSD,
elixir-deusd,deusd,Elixir deUSD,"['Stablecoins', 'USD Stablecoin', 'Ethereum Ecosystem', 'Fiat-backed Stablecoin']",177241769.5823456,177241769.5823456,314,Curve (Ethereum),usd-coin,DEUSDUSDC,
elixir-finance,elx,Elixir,"['Decentralized Finance (DeFi)', 'Ethereum Ecosystem', 'Real World Assets (RWA)', 'Stablecoin Protocol', 'RWA Protocol']",159659181,1000000000,1152,MEXC,tether,ELXUSDT,y
elixir-staked-deusd,sdeusd,Elixir Staked deUSD,"['Ethereum Ecosystem', 'Crypto-backed Stablecoin', 'Yield-Bearing Stablecoin']",116079792.3240208,116079792.3240208,411,Balancer V2,elixir-deusd,SDEUSDDEUSD,
elon4afd,elon4afd,Elon4AfD,"['Solana Ecosystem', 'Meme', 'Elon Musk-Inspired', 'Pump.fun Ecosystem']",999969805.7,999969805.7,1265,MEXC,tether,ELON4AFDUSDT,y
ellipsis,eps,Ellipsis [OLD],"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'BNB Chain Ecosystem']",698445817.3905587,723701571.8,1397,Mdex BSC,binance-peg-busd,EPSBUSD,
elonxcat,exc,ElonXCat,"['BNB Chain Ecosystem', 'Meme', 'Elon Musk-Inspired']",100137716444444.44,500000000000000.0,1096,,,,
elrond-erd-2,egld,MultiversX,"['Smart Contract Platform', 'Layer 1 (L1)', 'MultiversX Ecosystem', 'Binance Launchpad', 'DWF Labs Portfolio', 'Proof of Stake (PoS)', 'YZi Labs (Prev. Binance Labs) Portfolio', 'GMCI Layer 1 Index', 'GMCI Index', 'Coinbase 50 Index']",28179675,28179675,151,BINANCE,tether,EGLDUSDT,y
elon-trump-fart,etf500,Elon Trump Fart,"['Solana Ecosystem', 'Meme', 'Elon Musk-Inspired', 'Solana Meme', 'PolitiFi', 'Pump.fun Ecosystem', 'Stock market-themed']",999942750.6,999942750.6,1830,Raydium,wrapped-solana,,
elysia,el,ELYSIA,"['Tokenized Real Estate', 'Tokenized Assets', 'Ethereum Ecosystem', 'Real World Assets (RWA)']",6803300705,6803300705,919,BITHUMB,,,
elys-network,elys,Elys,"['Decentralized Exchange (DEX)', 'Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Layer 1 (L1)']",31027031.88,150774075.3,1733,MEXC,tether,ELYSUSDT,y
empyreal,emp,Empyreal,"['Artificial Intelligence (AI)', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Account Abstraction', 'AI Agents', 'Intent', 'AI Agent Launchpad', 'DeFAI']",300000,300000,1137,UNISWAP3ETH,weth,,
empowa,emp,Empowa,"['Cardano Ecosystem', 'Real World Assets (RWA)']",195498586.5,200000000,1899,,,,
endurance,ace,Fusionist,"['Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Binance Launchpool', 'RPG', 'Strategy Games', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Endurance Ecosystem']",55941443,146307870,823,BINANCE,tether,ACEUSDT,y
energy-web-token,ewt,Energy Web,"['Energy', 'Polkadot Ecosystem', 'Gnosis Chain Ecosystem', 'Regenerative Finance (ReFi)', 'Real World Assets (RWA)', 'Blockchain Capital Portfolio']",60459058.91763741,69017450.95,796,MEXC,tether,EWTUSDT,y
enjincoin,enj,Enjin Coin,"['Entertainment', 'Smart Contract Platform', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Layer 1 (L1)', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'Gaming Blockchains', 'Energi Ecosystem']",1834702800,1890701224.068143,345,BINANCE,tether,ENJUSDT,y
enq-enecuum,enq,Enecuum,"['Smart Contract Platform', 'Masternodes', 'Proof of Stake (PoS)', 'Proof of Work (PoW)']",293420308.3,293420308.3,1309,ProBit Global,tether,ENQUSDT,
entangle,ntgl,Entangle,"['Smart Contract Platform', 'Oracle', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'Mantle Ecosystem', 'Cross-chain Communication', 'Consensys Portfolio']",603877356711.5198,8.43E+11,335,GATEIO,tether,NTGLUSDT,
eos,eos,EOS,"['Smart Contract Platform', 'DWF Labs Portfolio', 'GMCI Layer 1 Index', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index']",1516885789,2100000000,90,BINANCE,tether,EOSUSDT,y
epic-cash,epic,Epic Cash,"['Smart Contract Platform', 'Privacy', 'Layer 1 (L1)', 'Zero Knowledge (ZK)', 'Proof of Work (PoW)']",18502854,18504998,1849,BINANCE,tether,EPICUSDT,y
equilibria-finance,eqb,Equilibria Finance,"['Yield Farming', 'BNB Chain Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Yield Optimizer']",33565584.77924837,100000000,1564,Camelot V3,equilibria-finance,,
equilibria-finance-ependle,ependle,Equilibria Finance ePENDLE,"['BNB Chain Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem']",8341440.313511736,8341440.313511736,1262,Balancer V2,pendle,,
epic-chain,epic,Epic Chain,"['Smart Contract Platform', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Real World Assets (RWA)']",22245827.49879068,30000000,926,BINANCE,tether,EPICUSDT,y
ergo,erg,Ergo,"['Smart Contract Platform', 'Layer 1 (L1)', 'Proof of Work (PoW)', 'Privacy Blockchain']",80604732,97739924,611,MEXC,tether,ERGUSDT,y
e-radix,exrd,e-Radix,['Ethereum Ecosystem'],831540076.3616747,831540076.3616747,1703,UNISWAP,usd-coin,EXRDUSDC,y
escoin-token,elg,Escoin,"['BNB Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem']",184209191.10459575,250000000,690,MEXC,tether,ELGUSDT,y
ethena-staked-usde,susde,Ethena Staked USDe,"['Liquid Staking Tokens', 'Ethereum Ecosystem', 'Yield-Bearing Stablecoin']",1801817072.177965,1801817072.177965,58,Uniswap V4 (Ethereum),tether,SUSDEUSDT,
ethena,ena,Ethena,"['Decentralized Finance (DeFi)', 'Binance Launchpool', 'Ethereum Ecosystem', 'Stablecoin Protocol', 'DragonFly Capital Portfolio', 'YZi Labs (Prev. Binance Labs) Portfolio', 'Delphi Ventures Portfolio', 'OKX Ventures Portfolio', 'World Liberty Financial Portfolio']",5553125000,15000000000,66,BINANCE,tether,ENAUSDT,y
ethereum-classic,etc,Ethereum Classic,"['Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Layer 1 (L1)', 'Proof of Work (PoW)', 'Coinbase 50 Index']",151717776.5927992,151726523.5012132,49,BINANCE,tether,ETCUSDT,y
ethereum,eth,Ethereum,"['Smart Contract Platform', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'FTX Holdings', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'Alameda Research Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'Delphi Ventures Portfolio', 'Galaxy Digital Portfolio', 'GMCI Index', 'World Liberty Financial Portfolio', 'Coinbase 50 Index']",120730454.5431191,120730454.5431191,2,BINANCE,tether,ETHUSDT,y
ethena-usde,usde,Ethena USDe,"['Stablecoins', 'USD Stablecoin', 'Solana Ecosystem', 'Ethereum Ecosystem', 'Fiat-backed Stablecoin']",4667155069.616479,4667155069.616479,31,MEXC,tether,USDEUSDT,y
ethereum-name-service,ens,Ethereum Name Service,"['NFT', 'Ethereum Ecosystem', 'Decentralized Identifier (DID)', 'Name Service']",33165585.054507963,100000000,134,BINANCE,tether,ENSUSDT,y
ether-fi,ethfi,Ether.fi,"['Decentralized Finance (DeFi)', 'Binance Launchpool', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Restaking', 'Liquid Restaking Governance Tokens', 'Ether.fi Ecosystem', 'Consensys Portfolio', 'OKX Ventures Portfolio']",234388184,1000000000,358,BINANCE,tether,ETHFIUSDT,y
ethereum-pow-iou,ethw,EthereumPoW,"['Smart Contract Platform', 'EthereumPoW Ecosystem', 'Proof of Work (PoW)']",107818717,107818717,288,MEXC,tether,ETHWUSDT,y
ether-fi-staked-eth,eeth,ether.fi Staked ETH,"['Liquid Staking Tokens', 'Ethereum Ecosystem', 'Restaking', 'Liquid Restaking Tokens', 'Ether.fi Ecosystem', 'Liquid Staked ETH', 'Liquid Staking']",193219.8748117998,2434144.418297989,198,Curve (Ethereum),weth,,
ether-fi-staked-btc,ebtc,Ether.fi Staked BTC,"['Decentralized Finance (DeFi)', 'Ethereum Ecosystem', 'Restaking', 'Liquid Restaking Tokens', 'Liquid Staking', 'Liquid Staked BTC']",2919.326495,2919.326495,229,Curve (Ethereum),wrapped-bitcoin,,
ether-fi-staked-eigen,eeigen,ether.fi Staked EIGEN,"['Decentralized Finance (DeFi)', 'Ethereum Ecosystem', 'Restaking', 'Liquid Restaking Tokens']",6171379.538581316,6171379.538581316,1838,UNISWAP3ETH,weth,,
ethernity-chain,ern,Ethernity Chain,"['Smart Contract Platform', 'NFT', 'Metaverse', 'Collectibles', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Optimism Superchain Ecosystem']",24029731.813707583,30000000,860,OKX,tether,ERNUSDT,y
ethervista,vista,Ethervista,"['Decentralized Exchange (DEX)', 'Launchpad', 'Ethereum Ecosystem', 'Binance Alpha Spotlight']",941716.9471906665,941716.9471906665,1718,MEXC,tether,VISTAUSDT,y
ethichub,ethix,Ethix,"['Gnosis Chain Ecosystem', 'Celo Ecosystem', 'Ethereum Ecosystem']",70497132.56473097,100000000,1529,Uniswap V3 (Celo),celo-dollar,ETHIXCUSD,
ethos,vgx,VGX Token,"['Gaming (GameFi)', 'Ethereum Ecosystem', 'Galaxy Digital Portfolio']",913988539.2741745,916531620.4440104,1909,MEXC,tether,VGXUSDT,y
euler,eul,Euler,"['Lending/Borrowing Protocols', 'Ethereum Ecosystem', 'Paradigm Portfolio', 'Coinbase Ventures Portfolio']",18685530.67,27182818.28,348,MEXC,tether,EULUSDT,y
eutbl,eutbl,Spiko EU T-Bills Money Market Fund,"['Tokenized Assets', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)', 'Starknet Ecosystem', 'Tokenized Treasury Bills (T-Bills)']",153131429.1,153131429.1,307,,,,
eva-ai,$eva,eVa-ai,"['Ethereum Ecosystem', 'Telegram Apps']",80070000,100000000,1771,Uniswap v2 (Ethereum),weth,,
euro-coin,eurc,EURC,"['Stablecoins', 'EUR Stablecoin', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Stellar Ecosystem']",203045030.0645996,203045030.0645996,259,BitMart,usd-coin,EURCUSDC,y
everclear,clear,Everclear,"['Infrastructure', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio', 'Cross-chain Communication', 'Chain Abstraction']",374520998,1000000000,1809,MEXC,tether,CLEARUSDT,y
evercraft-ecotechnologies,ecet,Evercraft Ecotechnologies,['Polygon Ecosystem'],689199998,789199998,1575,BitMart,tether,ECETUSDT,y
everipedia,iq,IQ,"['Artificial Intelligence (AI)', 'Big Data', 'Media', 'BNB Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'GMCI DePIN Index', 'Galaxy Digital Portfolio', 'GMCI Index']",21248359629,21248359629,488,UPBIT,,,
evernode,evr,Evernode,"['Smart Contract Platform', 'Layer 2 (L2)', 'DePIN']",36170027.01,72253440,1855,MEXC,tether,EVRUSDT,y
everscale,ever,Everscale,"['Infrastructure', 'Layer 1 (L1)', 'Ethereum Ecosystem']",1985523041,2117508291,849,MEXC,tether,EVERUSDT,y
evervalue-coin,eva,EverValue Coin,"['Crypto-Backed Tokens', 'Decentralized Finance (DeFi)', 'Arbitrum Ecosystem']",13573201.06,18766748.17860611,1469,GATEIO,tether,EVAUSDT,y
extra-finance,extra,Extra Finance,"['Optimism Ecosystem', 'Base Ecosystem']",337773686.4621479,897648739,1656,PancakeSwap V3 (Base),l2-standard-bridged-weth-base,,
fair-and-free,fair3,Fair and Free,"['BNB Chain Ecosystem', 'Meme']",935814213.1,935814213.1,1029,PancakeSwap V3 (BSC),wbnb,,
falcon-finance,usdf,Falcon USD,"['Stablecoins', 'USD Stablecoin', 'Fiat-backed Stablecoin']",210724673.8,210724673.8,280,UNISWAP3ETH,tether,USDFUSDT,
fartboy,$fartboy,Fartboy,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'Pump.fun Ecosystem']",999438383.8584487,999438383.8584487,925,MEXC,tether,$FARTBOYUSDT,
fartcoin,fartcoin,Fartcoin,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'AI Meme', 'Pump.fun Ecosystem', 'Terminal of Truths', 'Binance Alpha Spotlight']",999992265.7,999992265.7,84,MEXC,tether,FARTCOINUSDT,y
fasttoken,ftn,Fasttoken,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Bahamut Ecosystem']",430576348.6,870742437,63,MEXC,tether,FTNUSDT,y
fbomb,bomb,Fantom Bomb,"['Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Optimism Ecosystem', 'Canto Ecosystem', 'Mantle Ecosystem', 'Base Ecosystem']",489937567.4,489937567.4,1407,Aerodrome (Base),coinbase-wrapped-btc,,
fc-barcelona-fan-token,bar,FC Barcelona Fan Token,"['Sports', 'Fan Token', 'Binance Launchpad', 'Chiliz Ecosystem']",10350520,39960000,1014,BINANCE,tether,BARUSDT,y
feg-token-2,feg,FEED EVERY GORILLA,"['Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Launchpad', 'Meme', 'Liquid Staking']",97291589679.80798,97291589679.80798,1544,MEXC,tether,FEGUSDT,y
